Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades	Average_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Total_amplitude_of_saccades
Recording37	202021130045	Urban1	FinancialSt_H	1	FinancialSt_H	150317	1135396	98079	369	266	256	161.52	90.86	5.44	1391.76
Recording37	202021130045	Urban1	Metro_H	1	Metro_H	150453	438782	122508	471	260	208	154.14	84.02	5.08	1057.28
Recording37	202021130045	Urban1	Night_H	1	Night_H	150362	901485	113372	350	324	269	171.52	96.84	5.99	1610.47
Recording37	202021130045	Urban1	PedestrianZone_H	1	PedestrianZone_H	150334	672651	108413	382	284	261	146.72	87.05	4.93	1287.8
Recording39	202011998131	Urban1	FinancialSt_H	1	FinancialSt_H	150250	133233	109014	361	302	272	162.9	97.33	4.93	1340.51
Recording39	202011998131	Urban1	Metro_H	1	Metro_H	150367	384117	102651	330	311	283	207.45	117.17	6.75	1909.24
Recording39	202011998131	Urban1	Night_H	1	Night_H	150217	630863	102656	343	299	245	177.14	106.22	5.39	1321.19
Recording39	202011998131	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	851283	94370	316	299	263	188.11	115.2	6.01	1580.58
Recording40	202011061107	Urban0	FinancialSt_L	1	FinancialSt_L	150301	245776	121545	469	259	153	145.06	75.26	3.69	564.85
Recording42	202011061107	Urban0	Metro_L	1	Metro_L	150401	558393	102051	523	195	93	139.92	105.84	3.7	344.45
Recording42	202011061107	Urban0	Night_L	1	Night_L	150267	354523	88769	419	212	117	133.93	83.62	3.48	406.69
Recording42	202011061107	Urban0	PedestrianZone_L	1	PedestrianZone_L	150267	132868	104180	373	279	173	125.67	75.95	3.33	576.25
Recording43	201921150016	Urban0	FinancialSt_L	1	FinancialSt_L	150267	1067441	79121	257	308	226	182.49	139.08	4.94	1116
Recording43	201921150016	Urban0	Metro_L	1	Metro_L	150460	251218	109841	416	264	218	191.79	142.42	5.79	1263.28
Recording43	201921150016	Urban0	Night_L	1	Night_L	150250	826200	99816	300	333	244	187.79	145.12	4.76	1161.32
Recording43	201921150016	Urban0	PedestrianZone_L	1	PedestrianZone_L	150300	568176	106000	245	433	305	187.85	165.46	5.19	1582.89
Recording44	201711061122	Urban1	FinancialSt_H	1	FinancialSt_H	150300	137228	85424	292	293	243	176.56	109.75	4.74	1153.02
Recording44	201711061122	Urban1	Metro_H	1	Metro_H	150367	595935	74404	416	179	120	240.68	206.28	5.88	705.93
Recording44	201711061122	Urban1	Night_H	1	Night_H	150351	785858	89271	323	276	199	247.33	253.53	5.39	1072.59
Recording44	201711061122	Urban1	PedestrianZone_H	1	PedestrianZone_H	150300	387828	87927	332	265	201	262.01	233.75	6.34	1273.72
Recording45	201711200105	Urban1	FinancialSt_H	1	FinancialSt_H	150296	750696	122853	450	273	246	198.05	194.44	5.38	1322.58
Recording45	201711200105	Urban1	Metro_H	1	Metro_H	150384	970494	110661	465	238	225	158.88	112.36	4.32	971.2
Recording45	201711200105	Urban1	Night_H	1	Night_H	150300	506598	117799	617	191	156	196.17	164.87	5.5	857.3
Recording45	201711200105	Urban1	PedestrianZone_H	1	PedestrianZone_H	150351	265908	119474	314	381	277	187.17	182.44	4.97	1377.73
Recording46	201911011116	Urban0	FinancialSt_L	1	FinancialSt_L	150284	1026949	62029	300	207	155	150.83	93.82	5.51	854.82
Recording46	201911011116	Urban0	Metro_L	1	Metro_L	150501	601624	82086	380	216	156	233.23	205.85	7.1	1107.91
Recording46	201911011116	Urban0	Night_L	1	Night_L	150284	374898	71130	340	209	155	262.48	278.59	7.35	1139.63
Recording46	201911011116	Urban0	PedestrianZone_L	1	PedestrianZone_L	150301	819992	66993	345	194	157	182	116.18	6.26	983.41
Recording47	201911051139	Urban1	FinancialSt_H	1	FinancialSt_H	150353	223809	124615	329	379	363	215.04	133.79	6.12	2221.15
Recording47	201911051139	Urban1	Metro_H	1	Metro_H	150351	989476	115099	384	300	265	168.11	122.13	4.33	1147.76
Recording47	201911051139	Urban1	Night_H	1	Night_H	150234	515703	131319	523	251	228	209.65	120.54	5.74	1308.48
Recording47	201911051139	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	755559	113839	292	390	364	197.64	131.52	5.34	1945.34
Recording48	201711010204	Urban0	FinancialSt_L	1	FinancialSt_L	150267	521255	119697	392	305	235	176.26	107.14	4.97	1168.26
Recording48	201711010204	Urban0	Metro_L	1	Metro_L	150417	984400	114809	447	257	192	160.31	119.57	4.45	855.31
Recording48	201711010204	Urban0	Night_L	1	Night_L	150267	251786	120109	373	322	213	174.91	142.41	4.5	958.54
Recording48	201711010204	Urban0	PedestrianZone_L	1	PedestrianZone_L	150301	760727	106389	320	332	197	189.76	151.74	5.03	990.93
Recording49	201711120106	Urban0	FinancialSt_L	1	FinancialSt_L	150267	477355	109389	274	399	332	229.55	132.88	6.4	2123.68
Recording49	201711120106	Urban0	Metro_L	1	Metro_L	150367	973567	105536	340	310	252	246.83	169.35	7.25	1827.18
Recording49	201711120106	Urban0	Night_L	1	Night_L	150284	204583	112141	291	385	342	226.33	138.71	6.02	2058.95
Recording49	201711120106	Urban0	PedestrianZone_L	1	PedestrianZone_L	150367	731008	107537	266	405	345	197.76	153.28	5.23	1803.78
Recording50	202011998124	Urban1	FinancialSt_H	1	FinancialSt_H	150284	605644	128494	400	321	269	231.67	148.13	6.08	1634.58
Recording50	202011998124	Urban1	Metro_H	1	Metro_H	150474	797461	124194	293	424	364	209.9	143.07	5.29	1926.64
Recording50	202011998124	Urban1	Night_H	1	Night_H	150392	183714	124750	413	302	277	187.01	118.35	4.54	1258.23
Recording50	202011998124	Urban1	PedestrianZone_H	1	PedestrianZone_H	150301	399905	128803	316	407	366	213.29	141.94	5.46	1998.56
Recording51	202011061039	Urban1	FinancialSt_H	1	FinancialSt_H	150267	686672	122368	374	327	264	199.43	134.39	5.56	1467.41
Recording51	202011061039	Urban1	Metro_H	1	Metro_H	150351	481951	124812	507	246	216	193.61	135.16	5.36	1157.53
